firm_id,sector,city,gender,is_poor,has_debt_true,debt_type_x,typology,years_operating,age,n_family_workers,owner_hours_weekly,family_hours_weekly,total_hours_weekly,total_revenue_diary,cogs,gross_profit,labor_imputed,depreciation_imputed,interest_paid,net_income_conventional,net_income_adjusted,accounting_gap_bs,accounting_gap_pct,cash_flow_operating,household_draws,extraction_rate,total_assets_net,book_equity,total_liab,roa_conventional,roa_adjusted,roe_conventional,roe_adjusted,earnings_per_bv_conv,earnings_per_bv_adj,asset_turnover,gross_margin_pct,net_margin_conventional_pct,net_margin_adjusted_pct,interest_burden_pct,labor_imputed_pct_gross_profit,tobin_q_g0,fcf_annual,pv_going_concern_g0,hourly_return_adjusted_bs,mw_multiple,eh_yi_net_annual,diary_yi_net_adj_annualized,ratio_diary_eh_income,effective_annual_rate,debt_amount,autoconsumo_imputed,net_income_per_hour_adj,net_income_post_iva,sector_en
F011,comercio,Santa Cruz,F,False,True,IFD/cooperativa,II_Precaria,4,37,2,61.4,66.8,128.2,627.69,79.32,548.37,1971.24,24.49,13.38,464.25,-1531.48,1995.73,429.9,507.87,65.96,0.11,3077.8,1.0,3204.31,7.84,-25.87,24141.0,-79636.96,24141.0,-79636.96,10.6,87.4,74.0,-244.0,2.1,359.5,45.37,25135.76,139643.11,-11.95,-0.88,0,-79637.06,,0.25,3107.63,4.28,-11.95,-1613.08,Commerce
F012,comercio,Tarija,M,False,False,ninguno,I_Viable,4,29,1,52.9,24.3,77.2,4733.53,315.27,4418.26,1348.26,184.62,0.0,3924.25,2391.37,1532.88,39.1,4305.19,649.39,0.14,15483.86,15398.07,85.79,13.18,8.03,13.25,8.08,13.25,8.08,15.9,93.3,82.9,50.5,0.0,30.5,76.88,214269.64,1190386.89,30.98,2.27,68650,124351.06,1.35,0.0,0.0,8.97,30.98,1776.01,Commerce
F013,comercio,Santa Cruz,M,False,False,ninguno,I_Viable,7,44,0,54.5,0.0,54.5,1602.5,72.71,1529.79,772.26,263.06,0.0,1419.67,384.35,1035.32,72.9,1480.16,26.06,0.02,4175.43,3984.68,190.75,17.68,4.79,18.53,5.02,18.53,5.02,19.96,95.5,88.6,24.0,0.0,50.5,84.21,63289.2,351606.67,7.05,0.52,0,19986.25,,0.0,0.0,55.66,7.05,176.02,Commerce
F014,comercio,La Paz,F,False,False,ninguno,II_Precaria,2,47,3,55.9,115.0,170.9,824.16,0.0,824.16,2659.68,29.0,0.0,677.61,-2011.07,2688.68,396.8,814.94,56.52,0.07,5835.64,5690.4,145.24,6.04,-17.92,6.19,-18.38,6.19,-18.38,7.34,100.0,82.2,-244.0,0.0,322.7,38.91,40868.88,227049.33,-11.77,-0.86,13500,-104575.64,1.03,0.0,0.0,14.74,-11.77,-2118.21,Commerce
F015,comercio,Tarija,F,False,True,IFD/cooperativa,I_Viable,4,47,5,56.8,126.1,182.9,5083.27,584.09,4499.18,2623.8,367.96,5.17,4223.3,1231.54,2991.76,70.8,4919.06,443.09,0.09,25256.27,22824.58,2431.69,8.7,2.54,9.62,2.81,9.62,2.81,10.47,88.5,83.1,24.2,0.1,58.3,52.06,236657.2,1314762.22,6.73,0.49,50850,64039.85,1.69,0.21,1390.3,84.18,6.73,570.71,Commerce
F016,comercio,Santa Cruz,F,False,False,ninguno,I_Viable,10,23,1,57.3,37.5,94.8,6403.05,722.53,5680.52,1335.84,372.38,0.0,5155.73,3447.51,1708.22,33.1,4426.45,293.35,0.05,8708.61,7840.16,868.45,30.79,20.59,34.2,22.87,34.2,22.87,38.23,88.7,80.5,53.8,0.0,23.5,134.48,210811.64,1171175.78,36.37,2.67,116300,179270.75,1.28,0.0,0.0,28.22,36.37,2615.11,Commerce
F017,comercio,La Paz,M,False,False,ninguno,II_Precaria,5,44,2,58.7,77.8,136.5,883.25,300.63,582.62,2050.98,69.02,0.0,499.47,-1620.53,2120.0,424.4,451.03,49.71,0.06,2338.57,2275.02,63.55,11.11,-36.03,11.42,-37.04,11.42,-37.04,19.64,66.0,56.5,-183.5,0.0,352.0,47.19,19864.52,110358.44,-11.87,-0.87,0,-84267.46,,0.0,0.0,30.49,-11.87,-1735.35,Commerce
F018,comercio,La Paz,F,False,True,familiar,I_Viable,4,35,0,46.7,0.0,46.7,2366.54,809.35,1557.19,656.58,59.77,0.0,1496.97,780.62,716.35,47.9,1211.79,222.76,0.09,6898.75,4337.04,2561.71,11.28,5.88,17.95,9.36,17.95,9.36,17.84,65.8,63.3,33.0,0.0,42.2,48.24,59905.04,332805.78,16.72,1.23,0,40592.08,,0.0,2536.0,15.55,16.72,472.97,Commerce
F019,comercio,La Paz,F,True,False,ninguno,II_Precaria,8,49,1,59.5,25.4,84.9,1179.93,105.71,1074.22,1203.36,178.76,0.0,835.9,-546.22,1382.12,165.3,1047.52,79.33,0.07,2925.23,2688.14,237.09,14.86,-9.71,16.17,-10.57,16.17,-10.57,20.97,91.0,70.8,-46.3,0.0,112.0,85.8,45175.52,250975.11,-6.43,-0.47,24700,-28403.23,0.79,0.0,0.0,65.79,-6.43,-699.61,Commerce
F020,comercio,Cochabamba,F,False,False,ninguno,I_Viable,2,42,2,53.3,71.3,124.6,4791.98,235.02,4556.96,1539.96,246.74,0.0,4415.61,2628.91,1786.7,40.5,4859.06,797.68,0.17,49774.01,49359.01,415.0,4.61,2.75,4.65,2.77,4.65,2.77,5.01,95.1,92.1,54.9,0.0,33.8,26.77,239840.64,1332448.0,21.1,1.55,0,136703.5,,0.0,0.0,73.64,21.1,2005.95,Commerce
F021,comercio,Santa Cruz,F,True,False,ninguno,I_Viable,1,19,0,55.5,0.0,55.5,1221.03,328.64,892.39,670.98,173.83,0.0,851.21,6.4,844.81,99.2,1143.54,64.8,0.05,38662.92,38513.73,149.19,1.14,0.01,1.15,0.01,1.15,0.01,1.64,73.1,69.7,0.5,0.0,75.2,7.25,50424.92,280138.44,0.12,0.01,23250,333.03,1.11,0.0,0.0,27.51,0.12,-152.33,Commerce
F022,comercio,Tarija,M,False,True,proveedor,I_Viable,7,39,1,52.7,35.3,88.0,2615.13,233.91,2381.22,1254.6,459.64,88.69,2013.57,299.33,1714.24,85.1,2110.66,280.02,0.11,4520.04,1.0,8209.96,23.16,3.44,104705.64,15565.16,104705.64,15565.16,30.09,91.1,77.0,11.4,3.4,52.7,105.52,85853.04,476961.33,3.4,0.25,0,15565.08,,0.79,7757.34,64.82,3.4,-40.64,Commerce
F023,comercio,Santa Cruz,F,False,False,ninguno,II_Precaria,1,35,3,57.9,111.8,169.7,964.9,428.37,536.53,2751.18,93.97,0.0,469.24,-2375.91,2845.15,606.3,570.42,81.79,0.08,21360.35,21227.99,132.36,1.14,-5.78,1.15,-5.82,1.15,-5.82,2.35,55.6,48.6,-246.2,0.0,512.8,6.44,24775.4,137641.11,-14.0,-1.03,7650,-123547.55,1.21,0.0,0.0,19.15,-14.0,-2501.35,Commerce
F024,comercio,Tarija,M,False,False,ninguno,I_Viable,2,51,0,49.8,0.0,49.8,2469.26,134.79,2334.47,850.56,104.34,0.0,2095.68,1140.78,954.9,45.6,2435.23,326.6,0.13,19760.18,19586.23,173.95,5.51,3.0,5.56,3.03,5.56,3.03,6.5,94.5,84.9,46.2,0.0,36.4,34.08,121206.28,673368.22,22.91,1.68,0,59320.4,,0.0,0.0,10.59,22.91,819.78,Commerce
F025,comercio,Tarija,F,True,True,proveedor,I_Viable,3,44,0,61.3,0.0,61.3,2477.38,239.63,2237.75,738.06,310.72,59.3,1908.88,860.1,1048.78,54.9,2210.44,60.92,0.02,37436.34,32042.83,5393.51,2.65,1.19,3.1,1.4,3.1,1.4,3.44,90.3,77.1,34.7,2.4,33.0,14.66,98785.44,548808.0,14.03,1.03,49350,44725.1,0.99,0.79,5190.16,20.87,14.03,538.04,Commerce
F026,comercio,Tarija,M,True,True,familiar,II_Precaria,1,38,1,54.5,23.9,78.4,1818.82,218.32,1600.5,1391.58,269.66,0.0,1315.1,-346.14,1661.24,126.3,1440.04,295.71,0.16,60215.57,47135.44,13080.13,1.14,-0.3,1.45,-0.38,1.45,-0.38,1.57,88.0,72.3,-19.0,0.0,86.9,5.61,60859.76,338109.78,-4.42,-0.32,24000,-17999.41,1.07,0.0,12870.48,55.1,-4.42,-582.59,Commerce
F027,comercio,La Paz,M,False,False,ninguno,I_Viable,6,46,0,53.5,0.0,53.5,2719.66,184.99,2534.67,986.52,215.26,0.0,2347.67,1145.89,1201.78,51.2,2554.03,184.16,0.07,3189.2,2759.85,429.35,38.28,18.68,44.23,21.59,44.23,21.59,44.34,93.2,86.3,42.1,0.0,38.9,211.85,121616.04,675644.67,21.42,1.57,32500,59586.51,1.36,0.0,0.0,18.42,21.42,792.33,Commerce
F028,comercio,La Paz,F,False,False,ninguno,II_Precaria,18,43,1,61.3,33.2,94.5,709.39,251.89,457.5,1596.12,138.53,0.0,322.2,-1412.45,1734.65,538.4,303.41,95.27,0.13,2201.42,2006.42,195.0,7.61,-33.36,8.35,-36.61,8.35,-36.61,16.76,64.5,45.4,-199.1,0.0,348.9,21.64,8573.76,47632.0,-14.95,-1.1,22700,-73447.35,0.64,0.0,0.0,10.56,-14.95,-1504.67,Commerce
F029,comercio,Santa Cruz,F,False,False,ninguno,II_Precaria,2,32,1,46.2,35.0,81.2,1749.51,273.14,1476.37,1363.32,123.51,0.0,1233.07,-253.76,1486.83,120.6,2045.03,94.62,0.05,24585.28,24203.65,381.63,2.61,-0.54,2.65,-0.55,2.65,-0.55,3.7,84.4,70.5,-14.5,0.0,92.3,22.58,99919.04,555105.78,-3.13,-0.23,0,-13195.47,,0.0,0.0,35.09,-3.13,-481.2,Commerce
F030,comercio,La Paz,F,False,False,ninguno,I_Viable,4,44,3,51.1,84.6,135.7,3289.64,191.54,3098.1,2222.82,309.84,0.0,2840.38,307.72,2532.66,89.2,3294.99,318.28,0.1,21735.81,21487.93,247.88,6.8,0.74,6.87,0.74,6.87,0.74,7.87,94.2,86.3,9.4,0.0,71.7,39.68,155227.8,862376.67,2.27,0.17,34900,16001.49,1.64,0.0,0.0,63.7,2.27,-119.93,Commerce
F031,comercio,Cochabamba,M,False,True,prestamista_informal,II_Precaria,2,24,2,51.3,69.9,121.2,2678.61,1245.28,1433.33,1313.04,138.2,45.34,1086.48,-364.76,1451.24,133.6,1325.82,432.76,0.16,26635.16,22556.14,4079.02,2.12,-0.71,2.5,-0.84,2.5,-0.84,5.23,53.5,40.6,-13.6,1.7,91.6,12.88,61756.24,343090.22,-3.01,-0.22,0,-18967.73,,0.81,3868.36,44.89,-3.01,-712.98,Commerce
F032,comercio,Cochabamba,F,False,True,IFD/cooperativa,II_Precaria,1,58,2,54.8,77.7,132.5,1785.55,135.45,1650.1,2306.94,228.45,6.95,1596.08,-939.31,2535.39,158.9,1649.11,201.0,0.11,50155.44,48296.07,1859.37,1.65,-0.97,1.72,-1.01,1.72,-1.01,1.85,92.4,89.4,-52.6,0.4,139.8,8.18,73874.32,410412.89,-7.09,-0.52,32350,-48843.99,1.19,0.26,1564.73,32.92,-7.09,-1171.43,Commerce
F033,comercio,La Paz,M,True,True,IFD/cooperativa,I_Viable,1,41,0,59.2,0.0,59.2,1275.84,142.12,1133.72,716.94,154.45,23.11,1077.38,205.99,871.39,80.9,1046.5,81.09,0.06,35198.23,30549.63,4648.6,1.59,0.3,1.83,0.35,1.83,0.35,1.88,88.9,84.4,16.1,1.8,63.2,7.32,46386.6,257703.33,3.48,0.26,18450,10711.48,1.06,0.29,4648.42,36.68,3.48,40.13,Commerce
F034,comercio,Santa Cruz,F,True,False,ninguno,I_Viable,7,53,1,61.7,25.0,86.7,3088.96,741.23,2347.73,1350.42,150.69,0.0,1949.83,448.72,1501.11,77.0,1899.25,127.44,0.04,7152.96,6761.17,391.79,14.17,3.26,15.0,3.45,15.0,3.45,22.46,76.0,63.1,14.5,0.0,57.5,70.62,90925.12,505139.56,5.18,0.38,59800,23333.67,1.03,0.0,0.0,54.21,5.18,47.16,Commerce
F035,comercio,Santa Cruz,F,False,False,ninguno,II_Precaria,11,25,2,48.7,75.7,124.4,987.15,175.27,811.88,1288.74,49.7,0.0,621.73,-716.71,1338.44,215.3,677.98,27.01,0.03,2128.21,1897.02,231.19,15.19,-17.51,17.04,-19.65,17.04,-19.65,24.12,82.2,63.0,-72.6,0.0,158.7,85.28,32670.56,181503.11,-5.76,-0.42,21850,-37268.92,0.99,0.0,0.0,13.77,-5.76,-845.04,Commerce
F036,comercio,Santa Cruz,M,False,False,ninguno,II_Precaria,1,18,1,54.4,28.2,82.6,568.53,65.25,503.28,1062.66,81.33,0.0,416.5,-727.49,1143.99,274.7,514.17,43.14,0.08,18415.32,18287.35,127.97,1.18,-2.05,1.18,-2.07,1.18,-2.07,1.61,88.5,73.3,-128.0,0.0,211.1,6.79,22507.68,125042.67,-8.81,-0.65,0,-37829.71,,0.0,0.0,21.77,-8.81,-801.4,Commerce
F037,comercio,Santa Cruz,F,False,True,prestamista_informal,IV_Riesgo_critico,2,18,3,52.9,80.8,133.7,2703.38,380.77,2322.61,1775.04,234.3,343.73,1718.94,-290.4,2009.34,116.9,1580.27,191.37,0.07,40254.14,23775.9,16478.24,2.22,-0.38,3.76,-0.64,3.76,-0.64,3.49,85.9,63.6,-10.7,12.7,76.4,9.66,69990.44,388835.78,-2.17,-0.16,36950,-15100.59,1.42,1.84,16379.4,56.0,-2.17,-641.84,Commerce
F038,comercio,La Paz,M,True,False,ninguno,II_Precaria,4,58,3,46.3,63.3,109.6,3294.57,1464.09,1830.48,1736.82,238.26,0.0,1403.53,-571.55,1975.08,140.7,1353.39,201.53,0.06,16941.3,16618.87,322.43,4.31,-1.75,4.39,-1.79,4.39,-1.79,10.11,55.6,42.6,-17.3,0.0,94.9,19.02,57986.76,322148.67,-5.21,-0.38,39500,-29720.65,1.73,0.0,0.0,45.45,-5.21,-999.84,Commerce
F039,comercio,Tarija,M,False,True,prestamista_informal,IV_Riesgo_critico,4,37,1,53.4,33.0,86.4,614.71,156.47,458.24,1139.46,37.98,213.47,228.4,-949.04,1177.44,515.5,245.39,115.06,0.19,2575.74,1.0,9144.17,4.61,-19.16,11876.8,-49350.08,11876.8,-49350.08,12.41,74.5,37.2,-154.4,34.7,248.7,23.26,10785.32,59918.44,-10.98,-0.81,6850,-49349.98,1.76,2.21,9057.97,2.03,-10.98,-1028.95,Commerce
F040,comercio,La Paz,F,False,False,ninguno,II_Precaria,11,70,1,46.6,37.3,83.9,1369.8,396.4,973.4,883.32,107.22,0.0,788.61,-201.93,990.54,125.6,927.15,82.91,0.06,2704.06,2439.29,264.77,15.17,-3.88,16.81,-4.3,16.81,-4.3,26.34,71.1,57.6,-14.7,0.0,90.7,87.6,42636.36,236868.67,-2.41,-0.18,0,-10500.23,,0.0,0.0,30.04,-2.41,-380.0,Commerce
F041,comercio,La Paz,F,False,True,prestamista_informal,IV_Riesgo_critico,13,34,4,57.4,141.3,198.7,1555.2,50.96,1504.24,2728.26,144.71,244.48,1116.01,-1756.96,2872.97,257.4,1602.52,145.07,0.09,4017.79,1.0,7854.26,14.44,-22.74,58032.52,-91361.92,58032.52,-91361.92,20.13,96.7,71.8,-113.0,15.7,181.4,104.82,75806.12,421145.11,-8.84,-0.65,21050,-91361.79,1.11,3.65,7742.29,31.21,-8.84,-1959.14,Commerce
F042,comercio,La Paz,F,False,True,familiar,I_Viable,3,48,0,56.0,0.0,56.0,2846.41,126.84,2719.57,977.76,391.4,0.0,2515.79,1146.63,1369.16,54.4,2367.33,155.91,0.05,46021.27,42436.12,3585.15,2.84,1.3,3.08,1.41,3.08,1.41,3.22,95.5,88.4,40.3,0.0,36.0,12.4,102748.36,570824.22,20.48,1.5,0,59624.92,,0.0,3488.4,42.86,20.48,776.6,Commerce
F043,comercio,La Paz,F,False,False,ninguno,I_Viable,3,52,0,52.9,0.0,52.9,2125.74,0.0,2125.74,889.8,167.73,0.0,2042.59,985.06,1057.53,51.8,2086.82,150.08,0.07,21270.65,21007.37,263.28,4.99,2.41,5.06,2.44,5.06,2.44,5.2,100.0,96.1,46.3,0.0,41.9,26.06,99792.68,554403.78,18.62,1.37,0,51223.12,,0.0,0.0,22.9,18.62,708.71,Commerce
F044,comercio,La Paz,F,False,False,ninguno,II_Precaria,16,35,3,46.7,66.3,113.0,3398.2,1480.14,1918.06,1817.88,283.58,0.0,1600.66,-500.8,2101.46,131.3,1559.83,221.11,0.07,7154.28,6987.19,167.09,11.63,-3.64,11.91,-3.73,11.91,-3.73,24.7,56.4,47.1,-14.7,0.0,94.8,51.53,66365.0,368694.44,-4.43,-0.32,49100,-26041.55,1.13,0.0,0.0,52.68,-4.43,-942.57,Commerce
F045,comercio,Santa Cruz,M,True,True,IFD/cooperativa,IV_Riesgo_critico,6,54,2,60.2,54.9,115.1,781.66,109.85,671.81,1583.7,84.96,109.71,475.29,-1193.37,1668.66,351.1,460.16,54.49,0.07,835.14,1.0,23551.89,29.59,-74.31,24715.08,-62055.24,24715.08,-62055.24,48.67,85.9,60.8,-152.7,14.0,235.7,129.79,19510.4,108391.11,-10.37,-0.76,0,-62055.45,,0.27,23408.13,7.24,-10.37,-1294.99,Commerce
F046,comercio,La Paz,M,True,True,prestamista_informal,IV_Riesgo_critico,5,27,1,58.1,23.4,81.5,792.03,153.94,638.09,1130.88,139.9,127.43,399.27,-871.51,1270.78,318.3,573.21,64.83,0.08,1996.5,1.0,7519.2,10.4,-22.7,20762.04,-45318.52,20762.04,-45318.52,20.63,80.6,50.4,-110.0,16.1,177.2,62.7,22532.12,125178.44,-10.69,-0.78,18050,-45318.7,0.79,1.36,7447.31,12.35,-10.69,-974.47,Commerce
F047,comercio,Tarija,F,False,False,ninguno,II_Precaria,12,44,2,60.0,51.7,111.7,915.46,46.83,868.63,1649.58,46.75,0.0,775.39,-920.94,1696.33,218.8,948.51,135.56,0.15,1821.5,1604.96,216.54,22.14,-26.29,25.12,-29.84,25.12,-29.84,26.13,94.9,84.7,-100.6,0.0,189.9,143.02,46891.52,260508.44,-8.24,-0.6,0,-47888.7,,0.0,0.0,14.68,-8.24,-1039.95,Commerce
F048,comercio,Cochabamba,F,True,True,IFD/cooperativa,II_Precaria,2,34,0,59.1,0.0,59.1,928.82,213.47,715.35,778.32,108.92,20.53,574.19,-313.05,887.24,154.5,716.09,70.92,0.08,18284.88,14021.73,4263.15,1.63,-0.89,2.13,-1.16,2.13,-1.16,2.64,77.0,61.8,-33.7,2.2,108.8,9.59,31572.84,175404.67,-5.3,-0.39,9850,-16278.55,1.16,0.3,4081.54,24.23,-5.3,-433.8,Commerce
F049,comercio,Santa Cruz,M,False,False,ninguno,II_Precaria,6,52,2,52.6,68.3,120.9,988.6,0.0,988.6,1889.94,136.93,0.0,822.66,-1204.21,2026.87,246.4,889.57,72.16,0.07,3237.84,2867.78,370.06,13.21,-19.34,14.92,-21.84,14.92,-21.84,15.88,100.0,83.2,-121.8,0.0,191.2,67.15,39137.28,217429.33,-9.96,-0.73,0,-62618.92,,0.0,0.0,6.58,-9.96,-1332.73,Commerce
F050,comercio,Cochabamba,F,False,True,prestamista_informal,IV_Riesgo_critico,19,38,2,48.5,75.0,123.5,1790.37,335.12,1455.25,2005.92,144.21,791.13,338.8,-1811.33,2150.13,634.6,347.86,188.59,0.11,2975.06,1.0,64535.75,5.92,-31.66,17617.6,-94189.16,17617.6,-94189.16,31.29,81.3,18.9,-101.2,44.2,137.8,19.78,10589.8,58832.22,-14.67,-1.08,47850,-94189.21,0.9,0.87,64016.17,51.01,-14.67,-2044.08,Commerce
F051,comercio,La Paz,F,True,False,ninguno,I_Viable,22,41,1,56.9,35.3,92.2,3735.5,1490.5,2245.0,1631.22,279.23,0.0,2044.04,133.59,1910.45,93.5,2677.24,363.94,0.1,9613.96,9320.29,293.67,11.06,0.72,11.4,0.75,11.4,0.75,20.2,60.1,54.7,3.6,0.0,72.7,72.06,124696.52,692758.44,1.45,0.11,0,6946.65,,0.0,0.0,95.27,1.45,-352.02,Commerce
F052,comercio,La Paz,F,False,False,ninguno,II_Precaria,1,32,2,50.8,65.7,116.5,2502.94,865.71,1637.23,1887.6,126.84,0.0,1416.57,-597.87,2014.44,142.2,2198.26,327.98,0.13,29632.48,28992.16,640.32,2.49,-1.05,2.54,-1.07,2.54,-1.07,4.39,65.4,56.6,-23.9,0.0,115.3,20.19,107713.84,598410.22,-5.13,-0.38,35050,-31089.14,1.56,0.0,0.0,13.98,-5.13,-923.25,Commerce
F053,comercio,Santa Cruz,F,False,False,ninguno,II_Precaria,2,35,1,54.5,32.5,87.0,600.21,45.48,554.73,1031.52,26.92,0.0,435.64,-622.8,1058.44,243.0,296.67,121.12,0.2,6257.65,6073.03,184.62,3.62,-5.18,3.73,-5.33,3.73,-5.33,4.99,92.4,72.6,-103.8,0.0,186.0,12.45,14027.0,77927.78,-7.16,-0.52,5200,-32385.78,1.0,0.0,0.0,13.43,-7.16,-700.83,Commerce
F054,comercio,La Paz,F,True,False,ninguno,I_Viable,5,29,1,53.1,24.1,77.2,2183.48,467.69,1715.79,1282.62,217.02,0.0,1561.87,62.23,1499.64,96.0,1507.56,249.77,0.11,3510.94,3139.96,370.98,23.13,0.92,25.87,1.03,25.87,1.03,32.34,78.6,71.5,2.9,0.0,74.8,106.19,67108.08,372822.67,0.81,0.06,19250,3236.12,1.36,0.0,0.0,30.65,0.81,-221.62,Commerce
F055,comercio,La Paz,F,False,True,IFD/cooperativa,II_Precaria,3,28,0,57.9,0.0,57.9,512.83,167.29,345.54,1024.86,119.85,9.21,257.88,-886.83,1144.71,443.9,295.76,66.25,0.13,14735.72,12530.78,2204.94,0.91,-3.13,1.07,-3.68,1.07,-3.68,1.81,67.4,50.3,-172.9,1.8,296.6,3.45,9147.32,50818.44,-15.32,-1.12,13500,-46115.08,0.57,0.26,2054.19,9.57,-15.32,-953.5,Commerce
