tx_id,firm_id,sector,city,gender,is_poor,day_num,day_name,module,category,description,amount_bs,currency,usd_amount,payment_type,is_credit,counterpart,account_db,account_cr,is_imputed,capital_paid,interest_paid,cash_end,inventory_end
TX00059,F001,comercio,Santa Cruz,M,False,6,Sábado,M7_TRANSFERENCIAS,retiro_titular,Retiro para gastos del hogar,21.09,Bs,0.0,efectivo,False,hogar,3030,1010.0,False,0.0,0.0,3112.98,1496.69
TX00060,F001,comercio,Santa Cruz,,,7,Domingo,DIA_INACTIVO,descanso,Día de descanso / feria cerrada,0.0,Bs,0.0,,False,,,,False,,,3112.98,1496.69
TX00061,F002,comercio,Tarija,F,False,1,Lunes,M1A_VENTAS,venta_contado,Venta comercio día 1 tx1,7.64,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,649.53,629.31
TX00062,F002,comercio,Tarija,F,False,1,Lunes,M1A_VENTAS,venta_contado,Venta comercio día 1 tx2,9.29,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,649.53,629.31
TX00063,F002,comercio,Tarija,F,False,1,Lunes,M1A_VENTAS,venta_contado,Venta comercio día 1 tx3,67.73,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,649.53,629.31
TX00064,F002,comercio,Tarija,F,False,1,Lunes,M1A_VENTAS,venta_contado,Venta comercio día 1 tx5,76.75,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,649.53,629.31
TX00065,F002,comercio,Tarija,F,False,1,Lunes,M1C_AUTOCONSUMO,autoconsumo,Consumo del hogar desde mercadería/producción,1.89,Bs,0.0,en_especie,False,hogar,4040,5010.0,True,0.0,0.0,649.53,629.31
TX00066,F002,comercio,Tarija,F,False,1,Lunes,M3_GASTOS_OP,gasto_transporte,Pasaje / flete / combustible,7.06,Bs,0.0,efectivo,False,proveedor_servicio,6010,1010.0,False,0.0,0.0,649.53,629.31
TX00067,F002,comercio,Tarija,F,False,1,Lunes,M3_GASTOS_OP,gasto_alquiler,Alquiler puesto / local / feria,54.78,Bs,0.0,efectivo,False,arrendador,6020,1010.0,False,0.0,0.0,649.53,629.31
TX00068,F002,comercio,Tarija,F,False,1,Lunes,M3_GASTOS_OP,gasto_servicios,Gas / agua / luz / internet,9.07,Bs,0.0,efectivo,False,servicio_basico,6030,1010.0,False,0.0,0.0,649.53,629.31
TX00069,F002,comercio,Tarija,F,False,1,Lunes,M5_TRABAJO_IMPUTADO,mano_obra_imputada_titular,Trabajo titular: 8.5 hrs × Bs18.4/hr,156.52,Bs,0.0,imputado,False,titular,6050,3030.0,True,0.0,0.0,649.53,629.31
TX00070,F002,comercio,Tarija,F,False,1,Lunes,M7_TRANSFERENCIAS,retiro_titular,Retiro para gastos del hogar,22.82,Bs,0.0,efectivo,False,hogar,3030,1010.0,False,0.0,0.0,649.53,629.31
TX00071,F002,comercio,Tarija,F,False,2,Martes,M1A_VENTAS,venta_credito,Venta comercio día 2 tx1,38.1,Bs,0.0,credito,True,cliente,1110,4020.0,False,0.0,0.0,669.03,628.63
TX00072,F002,comercio,Tarija,F,False,2,Martes,M1A_VENTAS,venta_contado,Venta comercio día 2 tx2,40.95,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,669.03,628.63
TX00073,F002,comercio,Tarija,F,False,2,Martes,M1C_AUTOCONSUMO,autoconsumo,Consumo del hogar desde mercadería/producción,2.27,Bs,0.0,en_especie,False,hogar,4040,5010.0,True,0.0,0.0,669.03,628.63
TX00074,F002,comercio,Tarija,F,False,2,Martes,M3_GASTOS_OP,gasto_transporte,Pasaje / flete / combustible,5.68,Bs,0.0,efectivo,False,proveedor_servicio,6010,1010.0,False,0.0,0.0,669.03,628.63
TX00075,F002,comercio,Tarija,F,False,2,Martes,M5_TRABAJO_IMPUTADO,mano_obra_imputada_titular,Trabajo titular: 8.5 hrs × Bs18.4/hr,156.52,Bs,0.0,imputado,False,titular,6050,3030.0,True,0.0,0.0,669.03,628.63
TX00076,F002,comercio,Tarija,F,False,2,Martes,M7_TRANSFERENCIAS,retiro_titular,Retiro para gastos del hogar,15.77,Bs,0.0,efectivo,False,hogar,3030,1010.0,False,0.0,0.0,669.03,628.63
TX00077,F002,comercio,Tarija,F,False,3,Miércoles,M1A_VENTAS,venta_contado,Venta comercio día 3 tx1,5.72,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,906.34,701.46
TX00078,F002,comercio,Tarija,F,False,3,Miércoles,M1A_VENTAS,venta_contado,Venta comercio día 3 tx2,27.31,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,906.34,701.46
TX00079,F002,comercio,Tarija,F,False,3,Miércoles,M1A_VENTAS,venta_contado,Venta comercio día 3 tx3,41.43,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,906.34,701.46
TX00080,F002,comercio,Tarija,F,False,3,Miércoles,M1A_VENTAS,venta_credito,Venta comercio día 3 tx5,7.69,Bs,0.0,credito,True,cliente,1110,4020.0,False,0.0,0.0,906.34,701.46
TX00081,F002,comercio,Tarija,F,False,3,Miércoles,M1A_VENTAS,venta_contado,Venta comercio día 3 tx6,16.99,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,906.34,701.46
TX00082,F002,comercio,Tarija,F,False,3,Miércoles,M1A_VENTAS,venta_contado,Venta comercio día 3 tx7,39.62,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,906.34,701.46
TX00083,F002,comercio,Tarija,F,False,3,Miércoles,M1A_VENTAS,venta_contado,Venta comercio día 3 tx8,8.82,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,906.34,701.46
TX00084,F002,comercio,Tarija,F,False,3,Miércoles,M1B_COBROS,cobro_cxc,Cobro cuenta por cobrar cliente,143.9,Bs,0.0,efectivo,False,cliente,1010,1110.0,False,0.0,0.0,906.34,701.46
TX00085,F002,comercio,Tarija,F,False,3,Miércoles,M1C_AUTOCONSUMO,autoconsumo,Consumo del hogar desde mercadería/producción,2.44,Bs,0.0,en_especie,False,hogar,4040,5010.0,True,0.0,0.0,906.34,701.46
TX00086,F002,comercio,Tarija,F,False,3,Miércoles,M2_COMPRAS,compra_insumos,Compra insumos/mercadería comercio,86.54,Bs,0.0,credito,True,proveedor,1210,2010.0,False,0.0,0.0,906.34,701.46
TX00087,F002,comercio,Tarija,F,False,3,Miércoles,M3_GASTOS_OP,gasto_transporte,Pasaje / flete / combustible,9.02,Bs,0.0,efectivo,False,proveedor_servicio,6010,1010.0,False,0.0,0.0,906.34,701.46
TX00088,F002,comercio,Tarija,F,False,3,Miércoles,M3_GASTOS_OP,gasto_servicios,Gas / agua / luz / internet,9.07,Bs,0.0,efectivo,False,servicio_basico,6030,1010.0,False,0.0,0.0,906.34,701.46
TX00089,F002,comercio,Tarija,F,False,3,Miércoles,M5_TRABAJO_IMPUTADO,mano_obra_imputada_titular,Trabajo titular: 8.5 hrs × Bs18.4/hr,156.52,Bs,0.0,imputado,False,titular,6050,3030.0,True,0.0,0.0,906.34,701.46
TX00090,F002,comercio,Tarija,F,False,3,Miércoles,M7_TRANSFERENCIAS,retiro_titular,Retiro para gastos del hogar,28.41,Bs,0.0,efectivo,False,hogar,3030,1010.0,False,0.0,0.0,906.34,701.46
TX00091,F002,comercio,Tarija,F,False,4,Jueves,M1A_VENTAS,venta_contado,Venta comercio día 4 tx1,17.1,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,943.72,744.04
TX00092,F002,comercio,Tarija,F,False,4,Jueves,M1A_VENTAS,venta_contado,Venta comercio día 4 tx2,53.75,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,943.72,744.04
TX00093,F002,comercio,Tarija,F,False,4,Jueves,M1A_VENTAS,venta_contado,Venta comercio día 4 tx3,24.85,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,943.72,744.04
TX00094,F002,comercio,Tarija,F,False,4,Jueves,M1C_AUTOCONSUMO,autoconsumo,Consumo del hogar desde mercadería/producción,2.3,Bs,0.0,en_especie,False,hogar,4040,5010.0,True,0.0,0.0,943.72,744.04
TX00095,F002,comercio,Tarija,F,False,4,Jueves,M2_COMPRAS,compra_insumos,Compra insumos/mercadería comercio,50.9,Bs,0.0,efectivo,False,proveedor,1210,1010.0,False,0.0,0.0,943.72,744.04
TX00096,F002,comercio,Tarija,F,False,4,Jueves,M3_GASTOS_OP,gasto_transporte,Pasaje / flete / combustible,7.41,Bs,0.0,efectivo,False,proveedor_servicio,6010,1010.0,False,0.0,0.0,943.72,744.04
TX00097,F002,comercio,Tarija,F,False,4,Jueves,M5_TRABAJO_IMPUTADO,mano_obra_imputada_titular,Trabajo titular: 8.5 hrs × Bs18.4/hr,156.52,Bs,0.0,imputado,False,titular,6050,3030.0,True,0.0,0.0,943.72,744.04
TX00098,F002,comercio,Tarija,F,False,5,Viernes,M1A_VENTAS,venta_contado,Venta comercio día 5 tx1,81.75,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,979.8,743.21
TX00099,F002,comercio,Tarija,F,False,5,Viernes,M1A_VENTAS,venta_contado,Venta comercio día 5 tx2,45.68,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,979.8,743.21
TX00100,F002,comercio,Tarija,F,False,5,Viernes,M1C_AUTOCONSUMO,autoconsumo,Consumo del hogar desde mercadería/producción,2.76,Bs,0.0,en_especie,False,hogar,4040,5010.0,True,0.0,0.0,979.8,743.21
TX00101,F002,comercio,Tarija,F,False,5,Viernes,M4B_PAGO_DEUDA,pago_deuda,Cuota prestamista_informal: capital + interés,84.17,Bs,0.0,efectivo,False,prestamista_informal,2110_capital+6100_interes,1010.0,False,18.92,65.25,979.8,743.21
TX00102,F002,comercio,Tarija,F,False,5,Viernes,M5_TRABAJO_IMPUTADO,mano_obra_imputada_titular,Trabajo titular: 8.5 hrs × Bs18.4/hr,156.52,Bs,0.0,imputado,False,titular,6050,3030.0,True,0.0,0.0,979.8,743.21
TX00103,F002,comercio,Tarija,F,False,5,Viernes,M7_TRANSFERENCIAS,retiro_titular,Retiro para gastos del hogar,7.19,Bs,0.0,efectivo,False,hogar,3030,1010.0,False,0.0,0.0,979.8,743.21
TX00104,F002,comercio,Tarija,F,False,6,Sábado,M1A_VENTAS,venta_contado,Venta comercio día 6 tx1,190.47,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,1241.56,742.58
TX00105,F002,comercio,Tarija,F,False,6,Sábado,M1A_VENTAS,venta_contado,Venta comercio día 6 tx2,46.49,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,1241.56,742.58
TX00106,F002,comercio,Tarija,F,False,6,Sábado,M1A_VENTAS,venta_contado,Venta comercio día 6 tx3,5.58,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,1241.56,742.58
TX00107,F002,comercio,Tarija,F,False,6,Sábado,M1B_COBROS,cobro_cxc,Cobro cuenta por cobrar cliente,72.41,Bs,0.0,efectivo,False,cliente,1010,1110.0,False,0.0,0.0,1241.56,742.58
TX00108,F002,comercio,Tarija,F,False,6,Sábado,M1C_AUTOCONSUMO,autoconsumo,Consumo del hogar desde mercadería/producción,2.1,Bs,0.0,en_especie,False,hogar,4040,5010.0,True,0.0,0.0,1241.56,742.58
TX00109,F002,comercio,Tarija,F,False,6,Sábado,M3_GASTOS_OP,gasto_transporte,Pasaje / flete / combustible,4.85,Bs,0.0,efectivo,False,proveedor_servicio,6010,1010.0,False,0.0,0.0,1241.56,742.58
TX00110,F002,comercio,Tarija,F,False,6,Sábado,M3_GASTOS_OP,gasto_servicios,Gas / agua / luz / internet,9.07,Bs,0.0,efectivo,False,servicio_basico,6030,1010.0,False,0.0,0.0,1241.56,742.58
TX00111,F002,comercio,Tarija,F,False,6,Sábado,M3_GASTOS_OP,gasto_gremio,Cuota gremio / sindicato / asociación,39.26,Bs,0.0,efectivo,False,gremio,6060,1010.0,False,0.0,0.0,1241.56,742.58
TX00112,F002,comercio,Tarija,F,False,6,Sábado,M5_TRABAJO_IMPUTADO,mano_obra_imputada_titular,Trabajo titular: 8.5 hrs × Bs18.4/hr,156.52,Bs,0.0,imputado,False,titular,6050,3030.0,True,0.0,0.0,1241.56,742.58
TX00113,F002,comercio,Tarija,,,7,Domingo,DIA_INACTIVO,descanso,Día de descanso / feria cerrada,0.0,Bs,0.0,,False,,,,False,,,1241.56,742.58
TX00114,F003,comercio,La Paz,F,True,1,Lunes,M1A_VENTAS,venta_contado,Venta comercio día 1 tx1,193.58,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,3402.38,2590.24
TX00115,F003,comercio,La Paz,F,True,1,Lunes,M1A_VENTAS,venta_contado,Venta comercio día 1 tx2,49.68,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,3402.38,2590.24
TX00116,F003,comercio,La Paz,F,True,1,Lunes,M1A_VENTAS,venta_contado,Venta comercio día 1 tx3,92.53,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,3402.38,2590.24
TX00117,F003,comercio,La Paz,F,True,1,Lunes,M1A_VENTAS,venta_contado,Venta comercio día 1 tx4,30.29,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,3402.38,2590.24
TX00118,F003,comercio,La Paz,F,True,1,Lunes,M1A_VENTAS,venta_contado,Venta comercio día 1 tx5,114.79,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,3402.38,2590.24
TX00119,F003,comercio,La Paz,F,True,1,Lunes,M1A_VENTAS,venta_contado,Venta comercio día 1 tx6,13.65,Bs,0.0,efectivo,False,cliente,1010,4010.0,False,0.0,0.0,3402.38,2590.24
TX00120,F003,comercio,La Paz,F,True,1,Lunes,M1C_AUTOCONSUMO,autoconsumo,Consumo del hogar desde mercadería/producción,7.67,Bs,0.0,en_especie,False,hogar,4040,5010.0,True,0.0,0.0,3402.38,2590.24
